model,sign_id,family,tag,tag2,notes,reviewed,query_id,panels,question,gold,model_verdict,gold_reason,reason_on_image,reason_on_text,crop,tagged_by
qwen3-vl-8b,hollywood/134030375380960_0,reasoning,time comparison,,Said 18:20 is outside 4-7 PM ('arrives after 7 PM').,,hollywood/134030375380960_0#06,3+,THU 18:20 for 180 min,illegal,legal,"stay overlaps panel 0 (no_stopping, 16:00-19:00, MON,TUE,WED,THU,FRI) by 40 min","The driver arrives at 18:20 on Thursday, which is outside the 4 PM to 7 PM no stopping zone. The 2-hour parking restriction applies from 8 AM to 4 PM and 8 AM to 8 PM on Saturday and Sunday, but not on Thursday. Since the driver arrives after 7 PM, parking is legal for the 3-hour stay.","The driver arrives on Thursday at 18:20. Panel 0 prohibits stopping from 16:00 to 19:00 on weekdays (including Thursday). Since the driver arrives at 18:20, which is within the 16:00-19:00 restriction, parking is illegal under Panel 0. The driver’s stay (3 hours) would extend into the restricted period, and even if they leave before 19:00, the arrival time already violates the rule. No other panel applies during this time.",data/collect/crops/hollywood/134030375380960_0.jpg,claude
qwen3-vl-8b,hollywood/155835929826934_0,reasoning,ignored time limit,,"Read '1 hour parking', then invented paying per hour to allow 4 hours.",,hollywood/155835929826934_0#04,1,MON 08:57 for 240 min,illegal,legal,"240 min inside panel 0 (time_limited, 08:00-19:00, MON,TUE,WED,THU,FRI,SAT) exceeds 60 min limit","The sign indicates 1-hour parking from 8 AM to 7 PM, except Sunday. The driver arrives at 08:57, which is within the 8 AM to 7 PM window. Since the driver wants to park for 4 hours, they would need to pay for multiple 1-hour periods. However, the sign does not prohibit parking for longer than 1 hour; it only limits the duration to 1 hour per period. The driver can park for 4 hours by paying for each hour, and since the restriction ends at 7 PM, the driver can park until 7 PM, which is within the legal window. The driver's stay is legal from arrival until departure, as long as they do not exceed the 1-hour limit per period. The sign does not prohibit parking for 4 hours; it only limits the duration to 1 hour per period. The driver can park for 4 hours by paying for each hour, and since the restriction ends at 7 PM, the driver can park until 7 PM, which is within the legal window. The driver's stay is legal from arrival until departure, as long as they do not exceed the 1-hour limit per ","The driver arrives at 08:57 on Monday, which is within the 08:00-19:00 time window and on a weekday (Monday) as specified in Panel 0. The time-limited parking rule allows only 60 minutes of parking during this window. The driver wants to park for 4 hours, which exceeds the 60-minute limit. Therefore, parking is illegal for the entire stay.",data/collect/crops/hollywood/155835929826934_0.jpg,claude
qwen3-vl-8b,hollywood/167494915287968_0,interpretation,default-deny,,'Before the 8 AM start of the 2-hour zone... illegal.',,hollywood/167494915287968_0#12,3+,TUE 06:06 for 120 min,legal,illegal,no panel is violated by this stay,"The driver arrives at 06:06 on Tuesday, which is before the 8 AM start of the 2-hour parking zone. The sign indicates 2-hour parking from 8 AM to 4 PM on weekdays (Mon-Fri). Since the driver arrives before the legal parking time, parking is illegal from the moment of arrival. The driver cannot park legally even for a short duration before the allowed time.","The driver arrives at 06:06 on Tuesday, which is outside the time-limited parking hours (08:00-16:00) on weekdays. Panel 0 (No stopping 16:00-19:00) does not apply because the driver is arriving before 16:00. Since no time-limited parking restriction applies before 08:00, and the driver is parking for 2 hours (within the 120-minute limit if they start at 08:00 or later), the parking is legal for the entire stay. The driver does not need to pay a meter for the first 2 hours if they arrive before 08:00, as no restriction applies.",data/collect/crops/hollywood/167494915287968_0.jpg,claude
qwen3-vl-8b,hollywood/173574074650876_0,perception,dropped panel,,Never mentions the legible NO PARKING ANY TIME panel beneath the no-stopping panel.,,hollywood/173574074650876_0#04,3+,TUE 03:56 for 180 min,illegal,legal,"stay overlaps panel 2 (no_parking, all day, every day) by 180 min","The driver arrives at 03:56, which is outside the posted 'NO STOPPING' hours (7 AM to 9 AM and 4 PM to 7 PM). Since the driver arrives before 7 AM, parking is legal during this time. The driver plans to park for 3 hours, which would end at 06:56, still before the 7 AM restriction begins. Therefore, the entire stay is legal.","The driver arrives at 03:56 on Tuesday. Panel 0 restricts stopping from 07:00-09:00, but the driver arrives before that. Panel 1 restricts stopping from 16:00-19:00, which is after the 3-hour stay. Panel 2 restricts parking all day, every day. Since the driver has no permit and parking is prohibited all day (including 03:56), parking is illegal from the moment of arrival.",data/collect/crops/hollywood/173574074650876_0.jpg,claude
qwen3-vl-8b,hollywood/189580049676219_0,interpretation,default-deny,,"'Before 8 AM, parking is not allowed.'",,hollywood/189580049676219_0#09,1,SAT 01:54 for 90 min,legal,illegal,no panel is violated by this stay,"The sign indicates 1 hour parking from 8 AM to 8 PM, except Sunday. Since the driver arrives on Saturday at 01:54, which is before 8 AM, parking is not allowed under the posted rules. The driver cannot park legally even for 1 hour 30 minutes because the restriction does not apply before 8 AM on weekdays or weekends. The sign does not mention any exception for Saturday, so the restriction applies as written.","The sign restricts time-limited parking to 60 minutes between 08:00 and 20:00 on weekdays and weekends (Saturday). The driver arrives at 01:54 on Saturday, which is outside the 08:00-20:00 window. Since the restriction does not apply outside this window, parking for 1 hour 30 minutes is legal.",data/collect/crops/hollywood/189580049676219_0.jpg,claude
qwen3-vl-8b,hollywood/281140246976710_0,reasoning,time comparison,default-deny,Said 18:35 is after 8 PM.,,hollywood/281140246976710_0#09,2,MON 18:35 for 30 min,legal,illegal,no panel is violated by this stay,"The driver arrives at 18:35 on Monday, which is outside the 8 AM to 8 PM parking hours (panel 1). The sign indicates 1 hour parking from 8 AM to 8 PM, except Sunday. Since the driver arrives after 8 PM, parking is not allowed during this time. The driver's 30-minute stay falls entirely within the prohibited time period, making the parking illegal.","The driver arrives at 18:35 on Monday. Panel 1 applies (time-limited parking, 60 minutes, 08:00-20:00, Monday through Saturday). Since 18:35 is within the 08:00-20:00 window on a Monday, the driver is allowed to park for up to 60 minutes. The driver wants to park for 30 minutes, which is within the limit. Panel 0 does not apply as it only restricts Wednesday 07:30-09:30. No other restrictions apply. The stay is legal.",data/collect/crops/hollywood/281140246976710_0.jpg,claude
qwen3-vl-8b,hollywood/475927303526042_0,interpretation,default-deny,,'The sign does not explicitly allow parking after 7 PM on Friday.',,hollywood/475927303526042_0#08,3+,FRI 21:18 for 90 min,legal,illegal,no panel is violated by this stay,"The driver arrives at 21:18 on Friday, which is outside the 4 PM to 7 PM no stopping zone. The sign allows 2-hour parking from 8 AM to 4 PM and 8 AM to 8 PM on Saturday. Since it is Friday, the 2-hour parking is only valid from 8 AM to 4 PM. The driver arrives after 4 PM, so parking is not allowed under the 2-hour parking rule. The no stopping zone is from 4 PM to 7 PM, but since the driver arrives at 21:18 (9:18 PM), which is after 7 PM, the no stopping restriction does not apply. However, the sign does not explicitly allow parking after 7 PM on Friday. The only parking restriction mentioned for Friday is the 2-hour limit from 8 AM to 4 PM. Since the driver arrives after 4 PM, parking is not permitted under any rule on the sign for Friday evening. Therefore, parking is illegal.","The driver arrives at 21:18 on Friday. Panel 0 prohibits stopping from 16:00 to 19:00 on weekdays, but the driver arrives after 19:00. Panel 1 applies only 08:00-16:00 on weekdays, so it does not apply after 16:00. Since the driver is parking after 19:00 on a weekday, no time-limited parking restriction applies. The driver’s 1 hour 30 minute stay is entirely outside any posted restriction, so parking is legal.",data/collect/crops/hollywood/475927303526042_0.jpg,claude
qwen3-vl-8b,hollywood/501732294183703_0,interpretation,exemption inverted,other reasoning,Read 'District No. 95 permits exempted' as permits NOT honored; also applied the Tuesday restriction on a Friday.,,hollywood/501732294183703_0#08,2,"FRI 14:15 for 90 min, permit 95",legal,illegal,no panel is violated by this stay,"The driver arrives at 14:15 on Friday, which is within the 12:00 PM to 3:00 PM restricted hours. The sign states 'NO PARKING ANY TIME' with an arrow pointing left, indicating the restriction applies to the entire street. The driver has a residential permit for district 95, but the sign explicitly states 'DISTRICT NO. 95 PERMITS EXEMPTED', meaning permits do not apply here. Therefore, parking is illegal during the restricted hours.","The driver has a district 95 permit, which exempts them from the 'No parking; all day; every day' rule in Panel 1. Panel 0 applies only on Tuesdays and only between 12:00-15:00, which does not include Friday or the driver's parking time (14:15-15:45). Since the driver's stay falls entirely within the exempt period due to their permit, parking is legal.",data/collect/crops/hollywood/501732294183703_0.jpg,claude
qwen3-vl-8b,hollywood/876035932959608_0,reasoning,boundary error,,"Said 15:01 is before 3:00 PM, one minute after the window ends.",,hollywood/876035932959608_0#01,2,TUE 15:01 for 45 min,legal,illegal,no panel is violated by this stay,"The driver arrives at 15:01 on Tuesday, which is after 12:00 PM and before 3:00 PM. Panel 0 (the top panel) states '12NOON TO 3PM TUESDAY STREET SWEEPING', meaning no parking is allowed during this time. Since the driver's stay (45 minutes) falls entirely within this restricted period, parking is illegal.","The driver arrives at 15:01 on Tuesday. Panel 0 prohibits parking from 12:00-15:00 on Tuesday, so parking is illegal from 12:00-15:00. Since the driver arrives at 15:01, they are outside the prohibited time window. However, Panel 1 (time-limited parking) applies from 08:00-19:00 on Tuesday, and the driver’s 45-minute stay falls within this window. But Panel 0’s restriction ends at 15:00, and the driver arrives at 15:01 — meaning the restriction does not apply to the driver’s entire stay. However, the sign’s Panel 0 explicitly says 'No parking' during 12:00-15:00 on Tuesday, and since the driver arrives at 15:01, they are not in the prohibited time. Therefore, the only applicable rule is Panel 1, which allows 240-minute parking (4 hours) from 08:00-19:00. The driver’s 45-minute stay is within this limit. Thus, parking is legal.",data/collect/crops/hollywood/876035932959608_0.jpg,claude
qwen3-vl-8b,hollywood/893149998251762_0,reasoning,time comparison,,Said 02:34 is inside the 3 PM-1 AM overnight window.,,hollywood/893149998251762_0#12,3+,THU 02:34 for 30 min,legal,illegal,no panel is violated by this stay,"The driver arrives at 02:34 on Thursday, which is between 3 PM and 1 AM (the 'NO PARKING' hours, panel 2). However, the sign explicitly states 'EXCEPT SUNDAY', meaning these restrictions do not apply on Sunday. Since the arrival is on Thursday, the 'NO PARKING' restriction is in effect. Parking is illegal during this time period.","The driver arrives at 02:34 on Thursday. Panel 0 restricts stopping from 07:00-09:00, which does not apply until after the driver's arrival. Panel 1 restricts stopping overnight from 15:00-01:00 (next day), which does not apply at 02:34. Panel 2 restricts parking from 09:00-15:00, which also does not apply at 02:34. Since the driver is parking for only 30 minutes and no restriction applies during that time, parking is legal.",data/collect/crops/hollywood/893149998251762_0.jpg,claude
qwen3-vl-8b,koreatown/151574846938954_0,interpretation,default-deny,,"3:17 AM is outside the window, so no limit applies.",,koreatown/151574846938954_0#08,1,MON 03:17 for 60 min,legal,illegal,no panel is violated by this stay,"The sign indicates 1-hour parking from 8 AM to 6 PM. The driver arrives at 3:17 AM, which is outside the permitted hours. Since the driver is parking outside the allowed time window, it is illegal.","The driver arrives at 03:17 on Monday, which is outside the 08:00-18:00 time window specified in Panel 0. Since time-limited parking only applies during those hours, parking is allowed outside of that window. The driver wants to park for 1 hour, which is within the 60-minute limit, but since the restriction does not apply at 03:17, parking is legal.",data/collect/crops/koreatown/151574846938954_0.jpg,claude
qwen3-vl-8b,koreatown/170148811694387_0,reasoning,time comparison,default-deny,Said 16:58 (4:58 PM) is after 6 PM.,,koreatown/170148811694387_0#01,1,MON 16:58 for 60 min,legal,illegal,no panel is violated by this stay,"The sign indicates 1 hour parking from 8 AM to 6 PM, except Sunday. The driver arrives at 16:58 (4:58 PM) on Monday, which is after 6 PM. Therefore, parking is not allowed during this time. The driver cannot park for 1 hour starting at 16:58 because it falls outside the permitted hours.","The driver arrives at 16:58 on Monday, which is within the 08:00-18:00 time window and on a weekday (Monday) as specified in Panel 0. The time-limited parking rule allows 60 minutes, and since the driver plans to park for exactly 1 hour, they will leave at 17:58, which is before the 18:00 cutoff. Therefore, the entire stay is within the legal time limit and does not violate any posted rules.",data/collect/crops/koreatown/170148811694387_0.jpg,claude
qwen3-vl-8b,koreatown/370127764417435_0,perception,missed exception,,"Missed EXCEPT SUNDAY. The line is small and faded in this crop, so a marginal miss.",,koreatown/370127764417435_0#10,1,SUN 10:02 for 90 min,legal,illegal,no panel is violated by this stay,"The sign indicates 1 hour parking from 8 AM to 6 PM. The driver arrives at 10:02 on Sunday, which is within the 8 AM to 6 PM window. However, the driver wants to park for 1 hour 30 minutes, which exceeds the 1-hour limit. Since the parking restriction is 1 hour, parking for 1 hour 30 minutes is illegal regardless of the arrival time within the allowed window.","Panel 0 states time-limited parking for 60 minutes from 08:00 to 18:00, Monday through Saturday. Sunday is not included in the listed days, so the restriction does not apply on Sunday. Therefore, parking for 1 hour 30 minutes on Sunday is legal.",data/collect/crops/koreatown/370127764417435_0.jpg,claude
qwen3-vl-8b,koreatown/564392097876867_0,reasoning,time comparison,default-deny,Said 16:55 (4:55 PM) is after 6 PM.,,koreatown/564392097876867_0#02,1,TUE 16:55 for 60 min,legal,illegal,no panel is violated by this stay,"The sign indicates 1 hour parking from 8 AM to 6 PM. The driver arrives at 16:55 (4:55 PM), which is after 6 PM. Since the parking restriction ends at 6 PM, parking after that time is not allowed. The driver's intended 1-hour stay would extend into the time period when parking is not permitted, making the entire stay illegal.","The driver arrives at 16:55 on Tuesday, which is within the 08:00-18:00 time window and on a weekday (Tuesday) as specified in Panel 0. The time-limited parking rule allows 60 minutes, and since the driver plans to park for exactly 1 hour, they will leave by 17:55, which is before the 18:00 cutoff. Therefore, the entire stay is legal under the posted rule.",data/collect/crops/koreatown/564392097876867_0.jpg,claude
qwen3-vl-8b,westwood/1333101073732686_0,reasoning,boundary error,,"Said 17:55 is after 6 PM, five minutes before the window ends.",,westwood/1333101073732686_0#00,1,FRI 17:55 for 60 min,illegal,legal,"stay overlaps panel 0 (no_parking, 07:00-18:00, MON,TUE,WED,THU,FRI) by 5 min","The sign states 'NO PARKING 7 AM TO 6 PM, EXCEPT SAT & SUN'. The driver arrives at 17:55 on Friday, which is after 6 PM. Since the restriction ends at 6 PM, parking is allowed after that time on weekdays. The driver plans to park for 1 hour, which will be entirely within the legal time window. Therefore, parking is legal.","The driver arrives at 17:55 on Friday, which is within the 'No parking' hours (07:00-18:00) on weekdays. Since the restriction applies from 07:00 to 18:00 on Friday, and the driver is arriving at 17:55, they will be parked during the restricted time. Even though they only plan to park for 1 hour, the restriction is active at the time of arrival and will continue until 18:00, making the entire stay illegal. The driver has no permit, so they cannot park during the restricted hours.",data/collect/crops/westwood/1333101073732686_0.jpg,claude
